"ID_EXECUTION"|"INI_EXECUTION"|"END_EXECUTION"|"STATUS"|"DESCR_ERR"|"EMAIL_SENT"|"EMAIL_DATE"|"ENVIRONMENT"|"OUTPUT"|"ID_BOT"|"HOST_NAME"|"COUNT_EXEC"|"COUNTRY"|"EXTERNAL_ID"|"PROCESS_NAME"|"PROCESS_VERSION"|"FOLDER_NAME"|"CURRENT_USER"|"BOT_SOX"|"SYNCED_ULTRON"
1025430|"15/06/2026 12:30:57"|"15/06/2026 12:31:39"|1|[NULL]|"1"|"15/06/2026 12:31:39"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|1|BR|"7f144e9e-5b3c-4630-976e-8b61721f7350"|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|
1025428|"15/06/2026 12:28:15"|"15/06/2026 12:29:46"|2|"Error ocurred: Could not find the user-interface (UI) element for this action.

Possible solutions:
 ?  Ensure application is opened and the UI element is visible on the screen at execution time
 ?  Edit the Target of the UI activity and use Validation to debug the issue.
 ?  If needed, re-indicate the element as its properties might have changed
 ?  Use Check state activity to check the application state before executing the action
 ?  Increase the Delay before value to allow time to the application to render entirely and become responsiveError Source: Select Item - Respons. Oficio = Todos"|"1"|"15/06/2026 12:29:46"|"3"|[NULL]|160|EC2AMAZ-ERHGKPJ|0|||||||"0"|"1"
1025422|"15/06/2026 12:20:16"|"15/06/2026 12:29:27"|1|[NULL]|"1"|"15/06/2026 12:29:27"|"3"|[NULL]|119|AWS-RPAP-004|38|BR|d1f5526a-f120-4697-b9ef-1cd22a1c5929|"119.CXC.Blank.Emails.Zendesk.VAMNUINVEST"|"1.0.34"|CoE Ops - BR/Nuinvest/Ops PF|DOMAIN_TITULO\AUTOMACAO.MOPERACOES|"0"|"1"
1025421|"15/06/2026 12:17:19"|"15/06/2026 12:19:11"|2|"Error ocurred: Could not find the user-interface (UI) element for this action.

Possible solutions:
 ?  Ensure application is opened and the UI element is visible on the screen at execution time
 ?  Edit the Target of the UI activity and use Validation to debug the issue.
 ?  If needed, re-indicate the element as its properties might have changed
 ?  Use Check state activity to check the application state before executing the action
 ?  Increase the Delay before value to allow time to the application to render entirely and become responsiveError Source: Select Item - Respons. Oficio = Todos"|"1"|"15/06/2026 12:19:11"|"3"|[NULL]|160|EC2AMAZ-ERHGKPJ|0|||||||"0"|"1"
1025419|"15/06/2026 12:16:28"|"15/06/2026 12:17:09"|1|[NULL]|"1"|"15/06/2026 12:17:09"|"3"|[NULL]|167|EC2AMAZ-ERHGKPJ|1|BR|"73e2a904-fc5a-4c98-8823-c4c6daf72177"|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025417|"15/06/2026 12:15:31"|"15/06/2026 12:16:03"|1|[NULL]|"1"|"15/06/2026 12:16:03"|"3"|[NULL]|182|AWS-RPAP-004|3|BR|d9e55535-5c45-402d-88c0-eaf01dda1c79|"182.OMB.Blank.Emails.Zendesk.VMNUINVEST"|"1.0.6"|CoE Ops - BR/Nuinvest/CompSol||"0"|"1"
1025416|"15/06/2026 12:14:29"|"15/06/2026 12:21:39"|1|[NULL]|"1"|"15/06/2026 12:21:39"|"3"|[NULL]|276|EC2AMAZ-NLK1TA2|0|BR|"71d60cda-2985-4dd3-bcb8-4b224d5e64df"|"276.CX.Estate.Blank.Zendesk.Emails"|"1.0.4"|CoE Ops - BR/Nubank/Ops PF|ssmwindows\automacao.moperacoes|"0"|"1"
1025413|"15/06/2026 12:12:40"|"15/06/2026 12:14:10"|1|[NULL]|"1"|"15/06/2026 12:14:10"|"3"|[NULL]|201|EC2AMAZ-NLK1TA2|0|BR|d2508867-6601-4780-82d8-539a43f6924d|"201.OMB.V2.Recebimento.Dos.Casos.Procon.STEP2"|"201.OMB.V2.Recebimento.Dos.Casos.Procon.STEP2"|CoE Ops - BR/Nubank/CompSol|ssmwindows\automacao.moperacoes|"0"|"1"
1025411|"15/06/2026 12:10:58"|"15/06/2026 12:12:23"|1|[NULL]|"1"|"15/06/2026 12:12:23"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|1|BR|"4f395962-c6af-40b3-9966-1c2281c48dd7"|"167.RegSol.Reativacao.Contas-FORMS"|"1.0.17"|CoE Ops - BR/Nubank/All VMs|ssmwindows\automacao.moperacoes|"0"|"1"
1025409|"15/06/2026 12:09:50"|"15/06/2026 12:12:35"|1|[NULL]|"1"|"15/06/2026 12:12:35"|"3"|[NULL]|153|AWS-RPAP-004|160|BR|dafbf0d7-2a1a-4ffc-a49b-162aa4a36820|"153.CX.Roteamento.Emails.Zendesk.VMNUINVEST"|"1.0.7"|CoE Ops - BR/Nuinvest/Ops PF||"0"|"1"
